2026-02-03 21:26:52 | INFO | auth | User logout success user_id=5267 (env=dev, region=us-east-1, ip=146.230.199.68, request_id=3cbnq5namvxlzvmd, trace_id=jzmiido8mxh90kjo4hgzoban, ua="Mozilla/5.0 (Windows NT 10.0; Win64; x64)")
2026-02-03 21:26:56 | INFO | auth | User logout success user_id=1200 (env=prod, region=us-east-1, ip=178.161.185.73, request_id=cy1xvzfbwrp4bwto, trace_id=exm402498zil2z4x49yuswfh, ua="Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X)")
2026-02-03 21:27:11 | ERROR | auth | Data validation error: missing required field field=sku (env=dev, region=me-south-1, ip=160.3.196.213, request_id=melgkk7vx2i2vbja, trace_id=7loyl76mrc2nlggebufev6qr, ua="Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)")
2026-02-03 21:27:17 | INFO | auth | Cache hit key=rate:9.244.240.139 ttl_s=1281 (env=prod, region=me-south-1, ip=9.244.240.139, request_id=4o9fk0fctryxyajo, trace_id=1adsrj8ohp4hqq2zgmomcit9, ua="curl/8.4.0")
2026-02-03 21:27:20 | INFO | auth | Job completed successfully: job=daily-report duration_ms=876 (env=prod, region=us-east-1, ip=208.160.193.197, request_id=76ccn120fig7sqtv, trace_id=lc1ce8rw68122sqkepfr9hi7, ua="Mozilla/5.0 (Linux; Android 14; Pixel 7)")
2026-02-03 21:27:27 | WARN | auth | Payment provider latency high (1558ms) (env=dev, region=eu-west-1, ip=87.29.143.54, request_id=puzacnkdppfh7532, trace_id=mrietp9yam4dbf5z40porbd7, ua="Mozilla/5.0 (Linux; Android 14; Pixel 7)")
2026-02-03 21:27:55 | INFO | auth | Metrics pushed cpu=75% mem=76% (env=prod, region=me-south-1, ip=145.241.194.52, request_id=tqah3cep0q02vt0x, trace_id=usevdaky4p4gmhkz9j1g83pt, ua="Mozilla/5.0 (Linux; Android 14; Pixel 7)")
2026-02-03 21:28:09 | INFO | auth | User login success user_id=7890 (env=prod, region=ap-southeast-1, ip=214.48.227.19, request_id=2wkrpioi2zslqxye, trace_id=vs459673c8jhck4n3julex7y, ua="Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)")
2026-02-03 21:28:59 | WARN | auth | Rate limit nearing threshold remaining=49 (env=prod, region=ap-southeast-1, ip=222.60.159.231, request_id=huegv0fhyrhvag5p, trace_id=ge6gd5eadnxzgni2x0lmhg38, ua="Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X)")
2026-02-03 21:29:56 | INFO | auth | Cache miss key=user:3490 (env=staging, region=eu-west-1, ip=175.5.173.68, request_id=6hmy1k821nlsju3y, trace_id=uin9v0xirurz5k6hel5agr5i, ua="PostmanRuntime/7.36.0")
2026-02-03 21:30:44 | INFO | auth | Cache hit key=rate:209.166.247.72 ttl_s=1138 (env=prod, region=eu-west-1, ip=209.166.247.72, request_id=rzfy07c0k5f7x408, trace_id=fk8tbl9ot2l9wnt8dhbm5ed4, ua="Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)")
2026-02-03 21:30:48 | INFO | auth | Metrics pushed cpu=31% mem=87% (env=prod, region=ap-southeast-1, ip=98.211.251.199, request_id=jfn2zt58k7ksz15r, trace_id=166q7a6pfphdvhzufdlcyq06, ua="Mozilla/5.0 (Windows NT 10.0; Win64; x64)")
2026-02-03 21:30:50 | INFO | auth | PUT /token/refresh 502 (768ms) (env=prod, region=ap-southeast-1, ip=66.37.227.158, request_id=7iu04cfjwb3ttgh3, trace_id=qi76xa7zeuyfzkjjnjq7wn0h, ua="curl/8.4.0")
2026-02-03 21:30:59 | INFO | auth | Job completed successfully: job=cleanup-sessions duration_ms=229 (env=prod, region=me-south-1, ip=148.143.175.50, request_id=ipnh9eo19eea28mk, trace_id=yd060sdcovpizd7jdvr2u1tt, ua="curl/8.4.0")
2026-02-03 21:31:12 | WARN | auth | Slow response detected (1279ms) endpoint=/analytics/event (env=prod, region=ap-southeast-1, ip=234.64.50.119, request_id=9sajmksvn2p8hzsz, trace_id=sud7j2i90h8fnghnkwob3bg4, ua="curl/8.4.0")
2026-02-03 21:31:17 | WARN | auth | Elevated error rate observed window_s=300 rate=13.9% (env=prod, region=me-south-1, ip=32.169.71.198, request_id=zgebl7c5hfv5mj6b, trace_id=vre3xf2dqkkxvbnncswuzqsn, ua="PostmanRuntime/7.36.0")
2026-02-03 21:31:36 | INFO | auth | Batch processed records=3323 duration_ms=1040 (env=prod, region=eu-west-1, ip=46.192.46.183, request_id=lres5xsdjiyvasfx, trace_id=7dg9w9ktkc4su364lguzawiw, ua="Mozilla/5.0 (Linux; Android 14; Pixel 7)")
2026-02-03 21:32:04 | INFO | auth | Cache hit key=sess:4000 ttl_s=938 (env=prod, region=me-south-1, ip=132.54.231.72, request_id=zn9cdee3dwwn7kjl, trace_id=b9dqj6p03gxh7v7y22q1mzaj, ua="Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)")
2026-02-03 21:32:32 | INFO | auth | Token refreshed user_id=8231 (env=prod, region=eu-west-1, ip=173.221.117.251, request_id=qupugo7ac6esjk7d, trace_id=l36ne8h6d2rhh2ogev24md14, ua="Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X)")
